english_name,korean_name,url,status,max_views,current_views,removed_date,last_updated
dongguk,동국대,https://gall.dcinside.com/board/view/?id=dongguk&no=128215,Active,1222,1222,,2026-02-19
dongdae_urgent,동대 긴급,https://gall.dcinside.com/board/view/?id=dongguk&no=128283,Active,548,548,,2026-02-19
feminism,페미니즘,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=686,Removed,129,0,2025-06-04,2026-02-19
seoul national,서울대,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232135,Removed,333,0,2025-08-19,2026-02-19
korea,고려대,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143463,Removed,315,0,2025-09-11,2026-02-19
chungang,중앙대,https://gall.dcinside.com/board/view/?id=cau&no=372500,Active,593,593,,2026-02-19
hongik,홍익대,https://gall.dcinside.com/board/view/?id=hongik&no=195828,Removed,326,0,2025-08-13,2026-02-19
hanyang,한양대,https://gall.dcinside.com/board/view/?id=hanyang&no=202335,Removed,311,0,2025-08-13,2026-02-19
k-arts,한국예술종합학교,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=537,Removed,243,0,2025-07-11,2026-02-19
yonsei,연세대,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156687,Removed,263,0,2025-09-04,2026-02-19
sungyunkwan,성균관대,https://gall.dcinside.com/board/view/?id=skku&no=309040,Removed,341,0,2025-08-26,2026-02-19
kyunghee,경희대,https://gall.dcinside.com/board/view/?id=khu&no=443988,Removed,323,0,2025-08-17,2026-02-19
sogang,서강대,https://gall.dcinside.com/board/view/?id=sogang&no=648491,Active,504,504,,2026-02-19
ewha,이화여대,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41186,Removed,245,0,2025-08-12,2026-02-19
seoul municipal,서울시립대,https://gall.dcinside.com/board/view/?id=uos&no=235766,Removed,385,0,2025-09-06,2026-02-19
hufs,한국외대,https://gall.dcinside.com/board/view/?id=hufs&no=248682,Removed,287,0,2025-08-17,2026-02-19
konkuk,건국대,https://gall.dcinside.com/board/view/?id=konkuk&no=205667,Removed,292,0,2025-08-23,2026-02-19
sejong,세종대,https://gall.dcinside.com/board/view/?id=sejong&no=260392,Removed,377,0,2025-08-18,2026-02-19
dongdeok womens,동덕여대,https://gall.dcinside.com/board/view/?id=dongduk&no=465172,Removed,240,0,2025-06-04,2026-02-19
sungshin womens,성신여대,https://gall.dcinside.com/board/view/?id=sungshin&no=36802,Removed,218,0,2025-08-12,2026-02-19
duksung,덕성여대,https://gall.dcinside.com/board/view/?id=duksung&no=22848,Removed,253,0,2025-08-18,2026-02-19
sookmyung womens,숙명여대,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22530,Removed,283,0,2025-08-18,2026-02-19
seoul women's uni,서울여대,https://gall.dcinside.com/board/view/?id=swu&no=9263,Removed,256,0,2025-08-18,2026-02-19
suwon womens uni,수원여대,https://gall.dcinside.com/mini/board/view/?id=swu&no=30,Active,526,526,,2026-02-19
university students,대학생,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=458,Active,457,457,,2026-02-19
antifeminism,반페미니즘,https://gall.dcinside.com/mgallery/board/view/?id=antifeminism&no=6379,Removed,20,0,2025-06-04,2026-02-19
dongguk_witnesses,동국대 성폭력 목격자,https://gall.dcinside.com/board/view/?id=dongguk&no=128298,Active,577,577,,2026-02-19
dongguk_crisis,동국대 위기경고,https://gall.dcinside.com/board/view/?id=dongguk&no=128322,Active,869,869,,2026-02-19
dongguk_racial,동국대 차별,https://gall.dcinside.com/board/view/?id=dongguk&no=128340,Active,429,429,,2026-02-19
snu_sex_traffic,서울대 성매매,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232624,Removed,211,0,2025-08-19,2026-02-19
korea_sex_traffic,고려대 성매매,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143576,Removed,286,0,2025-09-11,2026-02-19
uos_sex_traffic,시립대 성매매,https://gall.dcinside.com/board/view/?id=uos&no=235792,Removed,290,0,2025-09-06,2026-02-19
feminism_traffic,페미 성매매,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=697,Active,444,444,,2026-02-19
karts_sex_traffic,예종원 성매매,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=538,Removed,110,0,2025-07-11,2026-02-19
skku_sex_traffic_1,성균관대 성매매 1부,https://gall.dcinside.com/board/view/?id=skku&no=309198,Removed,173,0,2025-08-26,2026-02-19
sejong_sex_traffic_2,세종대 성매매 2부,https://gall.dcinside.com/board/view/?id=sejong&no=260427,Removed,156,0,2025-08-18,2026-02-19
hanyang_sex_traffic_3,한양대 성매매 3부,https://gall.dcinside.com/board/view/?id=hanyang&no=202401,Removed,158,0,2025-08-13,2026-02-19
kyunghee_sex_traffic,경희대 성매매,https://gall.dcinside.com/board/view/?id=khu&no=444066,Removed,172,0,2025-08-17,2026-02-19
dongguk_sex_traffic,동국대 성매매,https://gall.dcinside.com/board/view/?id=dongguk&no=128382,Active,348,348,,2026-02-19
dongduk_sex_traffic,동덕여대 성매매,https://gall.dcinside.com/board/view/?id=dongduk&no=466418,Removed,207,0,2025-08-21,2026-02-19
hongik_sex_traffic,홍익대 성매매,https://gall.dcinside.com/board/view/?id=hongik&no=195876,Removed,122,0,2025-08-13,2026-02-19
cau_sex_traffic,중앙대 성매매,https://gall.dcinside.com/board/view/?id=cau&no=372601,Removed,137,0,2025-08-13,2026-02-19
yonsei_sex_traffic,연세대 성매매,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156824,Removed,144,0,2025-09-04,2026-02-19
sogang_sex_traffic,서강대 성매매,https://gall.dcinside.com/board/view/?id=sogang&no=649175,Active,392,392,,2026-02-19
hufs_sex_traffic,한국외대 성매매,https://gall.dcinside.com/board/view/?id=hufs&no=248760,Removed,183,0,2025-08-17,2026-02-19
konkuk_sex_traffic,건국대 성매매,https://gall.dcinside.com/board/view/?id=konkuk&no=205779,Removed,139,0,2025-08-23,2026-02-19
sungshin_sex_traffic,성신여대 성매매,https://gall.dcinside.com/board/view/?id=sungshin&no=36916,Removed,97,0,2025-08-12,2026-02-19
duksung_sex_traffic,덕성여대 성매매,https://gall.dcinside.com/board/view/?id=duksung&no=22870,Removed,114,0,2025-08-18,2026-02-19
sookmyung_sex_traffic,숙명여대 성매매,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22558,Removed,108,0,2025-08-18,2026-02-19
swu_sex_traffic,서울여대 성매매,https://gall.dcinside.com/board/view/?id=swu&no=9279,Removed,205,0,2025-08-18,2026-02-19
suwon_womens_sex_traffic,수원여대 성매매,https://gall.dcinside.com/mini/board/view/?id=swu&no=31,Active,327,327,,2026-02-19
univ_sex_traffic,대학생 성매매,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=473,Active,350,350,,2026-02-19
ewha_sex_traffic,이화여대 성매매,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41262,Removed,103,0,2025-08-12,2026-02-19
dongdeok_womens_faculty_firing,동덕여대 교수 해고,https://gall.dcinside.com/board/view/?id=dongduk&no=466746,Removed,124,0,2025-08-21,2026-02-19
seoul_national_faculty_firing,서울대 교수 해고,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232910,Removed,116,0,2025-08-19,2026-02-19
dongguk_faculty_firing,동국대 교수 해고,https://gall.dcinside.com/board/view/?id=dongguk&no=128401,Active,326,326,,2026-02-19
chungang_faculty_firing,중앙대 교수 해고,https://gall.dcinside.com/board/view/?id=cau&no=372639,Active,432,432,,2026-02-19
k_arts_faculty_firing,한국예술종합학교 교수 해고,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=543,Removed,46,0,2025-07-11,2026-02-19
yonsei_faculty_firing,연세대 교수 해고,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156848,Removed,133,0,2025-09-04,2026-02-19
sejong_faculty_firing,세종대 교수 해고,https://gall.dcinside.com/board/view/?id=sejong&no=260439,Removed,126,0,2025-08-18,2026-02-19
kyunghee_faculty_firing,경희대 교수 해고,https://gall.dcinside.com/board/view/?id=khu&no=444074,Removed,133,0,2025-08-17,2026-02-19
duksung_faculty_firing,덕성여자대 교수 해고,https://gall.dcinside.com/board/view/?id=duksung&no=22877,Removed,88,0,2025-08-18,2026-02-19
feminism_faculty_firing,페미니즘 교수 해고,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=710,Active,312,312,,2026-02-19
hufs_faculty_firing,한국외국어대 교수 해고,https://gall.dcinside.com/board/view/?id=hufs&no=248772,Removed,122,0,2025-08-17,2026-02-19
konkuk_faculty_firing,건국대 교수 해고,https://gall.dcinside.com/board/view/?id=konkuk&no=205817,Removed,107,0,2025-08-23,2026-02-19
hongik_faculty_firing,홍익대 교수 해고,https://gall.dcinside.com/board/view/?id=hongik&no=195889,Removed,113,0,2025-08-13,2026-02-19
hanyang_faculty_firing,한양대 교수 해고,https://gall.dcinside.com/board/view/?id=hanyang&no=202421,Removed,133,0,2025-08-13,2026-02-19
sungyunkwan_faculty_firing,성균관대 교수 해고,https://gall.dcinside.com/board/view/?id=skku&no=309232,Removed,161,0,2025-08-26,2026-02-19
sogang_faculty_firing,서강대 교수 해고,https://gall.dcinside.com/board/view/?id=sogang&no=649384,Active,332,332,,2026-02-19
ewha_faculty_firing,이화여자대 교수 해고,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41273,Removed,99,0,2025-08-12,2026-02-19
seoul_municipal_faculty_firing,서울시립대 교수 해고,https://gall.dcinside.com/board/view/?id=uos&no=235819,Removed,166,0,2025-09-06,2026-02-19
sungshin_womens_faculty_firing,성신여자대 교수 해고,https://gall.dcinside.com/board/view/?id=sungshin&no=36941,Removed,89,0,2025-08-12,2026-02-19
sookmyung_womens_faculty_firing,숙명여자대 교수 해고,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22565,Removed,99,0,2025-08-18,2026-02-19
seoul_womens_uni_faculty_firing,서울여자대 교수 해고,https://gall.dcinside.com/board/view/?id=swu&no=9285,Removed,97,0,2025-08-18,2026-02-19
suwon_womens_uni_faculty_firing,수원여자대 교수 해고,https://gall.dcinside.com/mini/board/view/?id=swu&no=32,Active,413,413,,2026-02-19
university_students_faculty_firing,대학생 교수 해고,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=479,Active,350,350,,2026-02-19
dongdeok_womens_defamation_law,동덕여자대 명예훼손법,https://gall.dcinside.com/board/view/?id=dongduk&no=466795,Removed,120,0,2025-08-21,2026-02-19
chungang_defamation_law,중앙대 명예훼손법,https://gall.dcinside.com/board/view/?id=cau&no=372643,Removed,135,0,2025-09-04,2026-02-19
sungyunkwan_defamation_law,성균관대 명예훼손법,https://gall.dcinside.com/board/view/?id=skku&no=309239,Removed,112,0,2025-08-26,2026-02-19
dongguk_defamation_law,동국대 명예훼손법,https://gall.dcinside.com/board/view/?id=dongguk&no=128404,Active,311,311,,2026-02-19
sejong_defamation_law,세종대 명예훼손법,https://gall.dcinside.com/board/view/?id=sejong&no=260440,Removed,103,0,2025-08-18,2026-02-19
hongik_defamation_law,홍익대 명예훼손법,https://gall.dcinside.com/board/view/?id=hongik&no=195896,Removed,74,0,2025-08-13,2026-02-19
hanyang_defamation_law,한양대 명예훼손법,https://gall.dcinside.com/board/view/?id=hanyang&no=202425,Removed,91,0,2025-08-13,2026-02-19
korea_defamation_law,고려대 명예훼손법,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143643,Removed,110,0,2025-09-11,2026-02-19
university_students_defamation_law,대학생 명예훼손법,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=480,Active,296,296,,2026-02-19
hufs_defamation_law,한국외국어대 명예훼손법,https://gall.dcinside.com/board/view/?id=hufs&no=248775,Removed,108,0,2025-08-17,2026-02-19
feminism_defamation_law,페미니즘 명예훼손법,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=712,Active,294,294,,2026-02-19
seoul_municipal_defamation_law,서울시립대 명예훼손법,https://gall.dcinside.com/board/view/?id=uos&no=235822,Removed,140,0,2025-09-06,2026-02-19
k_arts_defamation_law,한국예술종합학교 명예훼손법,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=545,Removed,35,0,2025-07-11,2026-02-19
kyunghee_defamation_law,경희대 명예훼손법,https://gall.dcinside.com/board/view/?id=khu&no=444077,Removed,106,0,2025-08-17,2026-02-19
sogang_defamation_law,서강대 명예훼손법,https://gall.dcinside.com/board/view/?id=sogang&no=649455,Active,327,327,,2026-02-19
sookmyung_womens_defamation_law,숙명여자대 명예훼손법,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22566,Removed,77,0,2025-08-18,2026-02-19
suwon_womens_uni_defamation_law,수원여자대 명예훼손법,https://gall.dcinside.com/mini/board/view/?id=swu&no=33,Active,319,319,,2026-02-19
duksung_defamation_law,덕성여자대 명예훼손법,https://gall.dcinside.com/board/view/?id=duksung&no=22878,Removed,80,0,2025-08-18,2026-02-19
seoul_national_defamation_law,서울대 명예훼손법,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232941,Removed,103,0,2025-08-19,2026-02-19
seoul_womens_uni_defamation_law,서울여자대 명예훼손법,https://gall.dcinside.com/board/view/?id=swu&no=9286,Removed,82,0,2025-08-18,2026-02-19
yonsei_defamation_law,연세대 명예훼손법,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156852,Removed,109,0,2025-09-04,2026-02-19
sungshin_womens_defamation_law,성신여자대 명예훼손법,https://gall.dcinside.com/board/view/?id=sungshin&no=36946,Removed,79,0,2025-08-12,2026-02-19
konkuk_defamation_law,건국대 명예훼손법,https://gall.dcinside.com/board/view/?id=konkuk&no=205829,Removed,108,0,2025-08-23,2026-02-19
seoul_national_military_lgbt,서울대 군대 LGBT,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232994,Removed,0,0,2025-07-06,2026-02-19
sungyunkwan_military_lgbt,성균관대 군대 LGBT,https://gall.dcinside.com/board/view/?id=skku&no=309252,Removed,0,0,2025-07-06,2026-02-19
dongguk_military_lgbt,동국대 군대 LGBT,https://gall.dcinside.com/board/view/?id=dongguk&no=128409,Removed,0,0,2025-07-06,2026-02-19
dongdeok_womens_military_lgbt,동덕여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=dongduk&no=466854,Removed,0,0,2025-07-06,2026-02-19
sogang_military_lgbt,서강대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sogang&no=649510,Removed,0,0,2025-07-06,2026-02-19
seoul_municipal_military_lgbt,서울시립대 군대 LGBT,https://gall.dcinside.com/board/view/?id=uos&no=235824,Removed,0,0,2025-07-06,2026-02-19
duksung_military_lgbt,덕성여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=duksung&no=22882,Removed,0,0,2025-07-06,2026-02-19
yonsei_military_lgbt,연세대 군대 LGBT,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156861,Removed,0,0,2025-07-06,2026-02-19
chungang_military_lgbt,중앙대 군대 LGBT,https://gall.dcinside.com/board/view/?id=cau&no=372646,Removed,0,0,2025-07-06,2026-02-19
hufs_military_lgbt,한국외국어대 군대 LGBT,https://gall.dcinside.com/board/view/?id=hufs&no=248778,Removed,0,0,2025-07-06,2026-02-19
k_arts_military_lgbt,한국예술종합학교 군대 LGBT,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=546,Removed,0,0,2025-07-06,2026-02-19
korea_military_lgbt,고려대 군대 LGBT,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143658,Removed,0,0,2025-07-06,2026-02-19
university_students_military_lgbt,대학생 군대 LGBT,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=482,Removed,0,0,2025-07-06,2026-02-19
sejong_military_lgbt,세종대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sejong&no=260444,Removed,0,0,2025-07-06,2026-02-19
kyunghee_military_lgbt,경희대 군대 LGBT,https://gall.dcinside.com/board/view/?id=khu&no=444082,Removed,0,0,2025-07-06,2026-02-19
seoul_womens_uni_military_lgbt,서울여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=swu&no=9289,Removed,0,0,2025-07-06,2026-02-19
hongik_military_lgbt,홍익대 군대 LGBT,https://gall.dcinside.com/board/view/?id=hongik&no=195904,Removed,0,0,2025-07-06,2026-02-19
